"COD","CODINTEGR","TITULO","TITABREV","NIVEL","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","NOMBRE"
"1314","1A1314","Directores de explotaciones mineras","",5,"131","Los directores de explotaciones mineras planifican, dirigen y coordinan las actividades de producción de las explotaciones de minería, canteras y yacimientos de extracción de petróleo y gas. Se incluyen en este grupo tanto directores de departamentos como directores generales de empresas que no cuentan con una jerarquía a nivel directivo.

Entre sus tareas se incluyen:

- celebrar consultas con otros directores para fijar cuotas de producción, planificar lugares de extracción y elaborar políticas para la eliminación de las materias primas;
- evaluar la eficiencia de los lugares de producción para determinar la idoneidad del personal, los equipos y la tecnología utilizados y para introducir cambios, en caso necesario, en el programa de trabajo o en los equipos;
- planificar detalles de las actividades de producción en términos de calidad y cantidad del producto, costes, tiempos y necesidades de mano de obra;
- controlar el funcionamiento de la planta de producción y de los procedimientos de calidad mediante la planificación del mantenimiento, la indicación de las horas de funcionamiento y el suministro de piezas y utillaje;
- establecer y gestionar presupuestos, controlar el producto y los costes de producción, y ajustar los procesos y recursos para minimizar los costes;
- controlar la adquisición e instalación de nuevas instalaciones y equipos;
- controlar la preparación de registros e informes de producción;
- coordinar el cumplimiento de los requisitos de salud y seguridad en el trabajo;
- estudiar y aplicar los requisitos legales y reglamentarios que afectan a las operaciones de extracción de minerales y al medio ambiente;
- controlar la selección, formación y rendimiento del personal.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Directores de minas
- Directores de producción (minería)
- Directores de producción (extracción de gas y petróleo)
- Directores de producción (cantera)
- Directores de canteras","Ocupaciones afines no incluidas en este grupo primario:

- Supervisores de minas, 3201","","SI","","AYUDACOD_CNO11"
"1315","1A1315","Directores de empresas de abastecimiento, transporte, distribución y afines","",5,"131","Los directores de empresas de abastecimiento, transporte, distribución y afines planifican, dirigen y coordinan el abastecimiento, almacenamiento y distribución de bienes. Se incluyen en este grupo tanto directores de departamentos como directores generales de empresas que no cuentan con una jerarquía a nivel directivo.

Entre sus tareas se incluyen:

- decidir, aplicar y supervisar estrategias, políticas y planes de compra, almacenamiento y distribución;
- preparar y aplicar planes para mantener los niveles de existencias necesarios al coste mínimo;
- negociar contratos con los proveedores para que se cumplan los requisitos de calidad, coste y entrega;
- supervisar y examinar los sistemas de almacenamiento y de existencias para que se cumplan los requisitos de abastecimiento y se controlen los niveles de existencias;
- controlar la distribución de vehículos de carretera, trenes, buques o aeronaves;
- gestionar sistemas de registro que garanticen la trazabilidad de todos los movimientos de los bienes y velar por la formulación de nuevos pedidos y la reposición de existencias en los momentos óptimos;
- mantener contactos con otros departamentos y con los clientes en lo que respecta a los requisitos aplicables a la salida de los productos y al transporte correspondiente;
- controlar el registro de las operaciones de compra, almacenamiento y distribución;
- establecer y gestionar presupuestos, controlar los gastos y asegurar la utilización eficiente de los recursos;
- establecer y dirigir los procedimientos operativos y administrativos;
- planificar y dirigir el trabajo diario;
- controlar la selección, formación y rendimiento del personal.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Directores de logística
- Directores de abastecimiento y distribución
- Directores de cadena de suministros
- Directores de compras
- Directores de empresa de transportes
- Directores de almacén
- Jefes de estaciones de autobuses
- Jefes de grandes estaciones de ferrocarril","Ocupaciones afines no incluidas en este grupo primario:

- Directores de aeropuerto, 1120
- Directores generales de empresas de transporte (grandes empresas), 1120
- Directores generales de empresas de distribución (grandes empresas), 1120","","SI","","AYUDACOD_CNO11"
"1316","1A1316","Directores de empresas de construcción","",5,"131","Los directores de empresas de construcción planifican, dirigen y coordinan la construcción de obras públicas, edificios y viviendas. Se incluyen en este grupo tanto directores de departamentos como directores generales de empresas que no cuentan con una jerarquía a nivel directivo.

Entre sus tareas se incluyen:

- interpretar planos y especificaciones de arquitectura;
- coordinar los recursos de mano de obra y la compra y entrega de materiales, instalaciones y equipos;
- negociar con los propietarios de los edificios, los urbanizadores y los subcontratistas que intervienen en el proceso de construcción para garantizar que los proyectos se completan dentro de plazo y con arreglo al presupuesto;
- preparar licitaciones y ofertas contractuales;
- gestionar y aplicar programas de coordinación de los trabajos para las obras de construcción;
- velar por el cumplimiento de la legislación sobre construcción y de las normas en vigor en materia de rendimiento, calidad, costes y seguridad;
- organizar la presentación de planes a las entidades locales;
- construir bajo contrato o subcontratar los servicios de construcción especializados;
- adoptar las medidas necesarias en relación con inspección de la construcción por las autoridades competentes;
- establecer y gestionar presupuestos, controlar los gastos y asegurar la utilización eficiente de los recursos;
- controlar la selección, formación y rendimiento del personal y de los subcontratistas.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Directores de departamentos de construcción
- Constructores","Ocupaciones afines no incluidas en este grupo primario:

- Directores generales de empresas de construcción, 1120
- Supervisores de la construcción de edificios, 3202
- Albañiles autónomos, 7121","","SI","","AYUDACOD_CNO11"
"132","1A132","Directores de servicios de tecnologías de la información y las comunicaciones (TIC) y de empresas de servicios profesionales","",4,"13","","","","","","AYUDACOD_CNO11"
"1321","1A1321","Directores de servicios de tecnologías de la información y las comunicaciones (TIC)","",5,"132","Los directores de servicios de tecnologías de la información y las comunicaciones planifican, dirigen y coordinan la adquisición, desarrollo, mantenimiento y uso de los sistemas de ordenadores y telecomunicaciones. Se incluyen en este grupo tanto directores de departamentos como directores generales de empresas que no cuentan con una jerarquía a nivel directivo.

Entre sus tareas se incluyen:

- consultar a los usuarios, directivos, proveedores y técnicos para evaluar las necesidades informáticas y los requisitos del sistema y especificar la tecnología para satisfacer esas necesidades;
- elaborar y dirigir estrategias, políticas y planes sobre tecnología de la información y las telecomunicaciones (TIC);
- dirigir la selección e instalación de los recursos de TIC y la formación de los usuarios;
- dirigir las operaciones de TIC, analizar los flujos de trabajo, establecer prioridades, elaborar normas y fijar plazos;
- controlar la seguridad de los sistemas de TIC;
- asignar, examinar, gestionar y dirigir el trabajo de los analistas de sistemas, programadores y demás empleados relacionados con la informática;
- evaluar el uso de la tecnología de la organización y las necesidades al respecto, y recomendar mejoras tales como la actualización del hardware y el software;
- establecer y gestionar presupuestos, controlar los gastos y asegurar la utilización eficiente de los recursos;
- establecer y dirigir los procedimientos operativos y administrativos;
- controlar la selección, formación y rendimiento del personal;
- representar a la empresa u organización en las convenciones, seminarios y conferencias sobre TIC.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Directores de desarrollo de aplicaciones
- Directores de informática
- Directores de proceso de datos
- Directores de desarrollo de TIC
- Directores de tecnología de la información","Ocupaciones afines no incluidas en este grupo primario:

- Directores generales de empresas de telecomunicaciones, 1120
- Directores ejecutivos de empresas de telecomunicaciones, 1120
- Directores generales de empresas de TIC (grandes empresas), 1120","","SI","","AYUDACOD_CNO11"
"1322","1A1322","Directores de servicios sociales para niños","",5,"132","Los directores de servicios sociales para niños planifican, dirigen y coordinan la prestación de servicios de cuidados de los niños antes y después de la asistencia a la escuela y durante las vacaciones, así como otros centros de cuidados de niños fuera del sistema educativo.

Entre sus tareas se incluyen:

- elaborar y aplicar programas para apoyar el desarrollo físico, social, emocional e intelectual de los niños;
- establecer y supervisar los presupuestos y determinar la dotación de fondos para los gastos de personal, suministros, materiales, equipos y mantenimiento;
- controlar y coordinar la prestación de servicios de cuidados de los niños antes y después de la escuela y durante las vacaciones, así como otros centros de cuidados de niños fuera del sistema educativo;
- dirigir y supervisar a los cuidadores en la prestación de los servicios de cuidados y en la supervisión de los niños;
- gestionar las instalaciones y velar por el mantenimiento de los edificios y equipos a fin de garantizar la seguridad del centro para los niños, el personal y los visitantes;
- examinar e interpretar las normas de la administración pública y elaborar procedimientos para cumplirlas (por ejemplo, en lo relativo a la salud y seguridad);
- supervisar los progresos de los niños y mantener contactos con sus padres o tutores;
- preparar y mantener los registros y cuentas del centro de cuidados;
- contratar y evaluar al personal y coordinar su formación profesional.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Directores de centros de cuidados infantiles fuera del sistema educativo","","","SI","","AYUDACOD_CNO11"
"1323","1A1323","Directores-gerentes de centros sanitarios","",5,"132","Los directores-gerentes de centros sanitarios planifican, organizan, dirigen, controlan y coordinan servicios médicos y de salud en hospitales, clínicas, organismos de salud pública y organizaciones similares.

Entre sus tareas se incluyen:

- orientar y gestionar globalmente el servicio, instalación, organización o centro;
- dirigir, supervisar y evaluar las actividades profesionales del personal médico, de enfermería, técnico, administrativo, de servicio, de mantenimiento y de otras áreas;
- definir objetivos y criterios evaluativos u operativos para las unidades que gestionan;
- dirigir o realizar la selección, contratación y formación del personal;
- desarrollar procedimientos, políticas y normas de aplicación y supervisión para el personal médico, de enfermería, técnico y administrativo;
- supervisar el uso de servicios de diagnóstico, camas para internos, instalaciones y personal con el fin de asegurar el uso efectivo de los recursos y evaluar la necesidad de aumentar el personal, el equipamiento o los servicios;
- controlar operaciones administrativas como la planificación del presupuesto, la elaboración de informes y los gastos en suministros, equipos y servicios;
- establecer relaciones con otros prestadores, juntas y órganos de financiación de servicios de sanidad y bienestar para coordinar la prestación de los mismos;
- asesorar a organismos públicos sobre medidas de mejora de los servicios e instalaciones de salud y bienestar;
- representar a la organización en negociaciones y convenciones, seminarios, audiencias públicas y foros.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Directores de centros sanitarios
- Administradores de instalaciones sanitarias
- Jefes de enfermeros","Ocupaciones afines no incluidas en este grupo primario:

- Directores de servicios sociales para personas mayores, 1324","","SI","","AYUDACOD_CNO11"
"1324","1A1324","Directores de servicios sociales para personas mayores","",5,"132","Los directores de servicios sociales para personas mayores planifican, organizan, dirigen, controlan y coordinan la prestación de servicios para personas de edad en la comunidad y en residencias asistidas, urbanizaciones para jubilados e instituciones similares para personas mayores.

Entre sus tareas se incluyen:

- orientar y gestionar globalmente el servicio, instalación, organización o centro;
- dirigir, supervisar y evaluar las actividades profesionales del personal médico, de enfermería, técnico, administrativo, de servicio, de mantenimiento y de otras áreas;
- definir objetivos y criterios evaluativos u operativos para las unidades que gestionan;
- dirigir o realizar la selección, contratación y formación del personal;
- desarrollar procedimientos, políticas y normas de aplicación y supervisión para el personal de enfermería, de cuidados personales, técnico y administrativo;
- coordinar y administrar programas de bienestar y servicios de atención a las personas de edad;
- controlar operaciones administrativas como la planificación del presupuesto, la elaboración de informes y los gastos en suministros, equipos y servicios;
- establecer relaciones con otros prestadores, juntas y órganos de financiación de servicios de sanidad y bienestar para coordinar la prestación de los mismos;
- asesorar a organismos públicos sobre medidas de mejora de los servicios e instalaciones de salud y bienestar;
- representar a la organización en negociaciones y convenciones, seminarios, audiencias públicas y foros.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Directores de centros de día para la tercera edad
- Directores de residencias","Ocupaciones afines no incluidas en este grupo primario:

- Directores de servicios sanitarios, 1323","","SI","","AYUDACOD_CNO11"
"1325","1A1325","Directores de otros servicios sociales","",5,"132","Los directores de otros servicios sociales planifican, dirigen y coordinan la prestación de servicios sociales y comunitarios, como los de ayuda a las rentas, los de asistencia familiar, los de servicios para niños y los demás programas comunitarios.

Entre sus tareas se incluyen:

- establecer la orientación general de un servicio, organización o centro y atender a su gestión;
- elaborar, aplicar y supervisar procedimientos, políticas y normas para el personal;
- supervisar y evaluar los recursos asignados a la prestación de servicios de bienestar, de vivienda y demás de carácter social;
- controlar actividades administrativas tales como la planificación presupuestaria, la preparación de informes y la asunción de gastos por suministros, equipos y servicios;
- mantener contactos con otros proveedores de servicios de bienestar y de salud, órganos directivos y entidades que aporten financiación, para examinar ámbitos de cooperación y coordinación en relación con dichos servicios;
- asesorar a los órganos de la administración pública sobre la adopción de medidas para mejorar los servicios y centros de bienestar;
- representar a la organización en negociaciones y en convenciones, seminarios, audiencias públicas y foros;
- establecer y gestionar presupuestos, controlar los gastos y asegurar la utilización eficiente de los recursos;
- establecer y dirigir los procedimientos operativos y administrativos;
- controlar la selección, formación y rendimiento del personal;
- representar a la organización en convenciones, seminarios y conferencias.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Directores de centros de acogida
- Directores de otros centros de servicios sociales","","","SI","","AYUDACOD_CNO11"
"1326","1A1326","Directores de servicios de educación","",5,"132","Los directores de servicios de educación planifican, dirigen y coordinan los aspectos educativos y administrativos de los servicios de educación, los centros de enseñanza primaria y secundaria, las facultades y otras instituciones docentes.

Entre sus tareas se incluyen:

- determinar los programas educativos en el marco establecido en cada caso por las autoridades educativas y los órganos directivos;
- aplicar sistemas y procedimientos para supervisar el rendimiento escolar y las matriculaciones de alumnos;
- dirigir las actividades administrativas y de secretaría relativas a la admisión de alumnos y a la prestación de los servicios educativos;
- controlar actividades administrativas tales como la planificación presupuestaria, la preparación de informes, la asunción de gastos por suministros, equipos y servicios;
- asumir el liderazgo y orientación del personal docente, académico y administrativo y e los alumnos;
- evaluar la labor de los profesores visitando las aulas, observando los métodos docentes, revisando los objetivos formativos y examinando los materiales didácticos;
- promover el programa educativo y representar al servicio o institución en la comunidad en sentido más amplio;
- supervisar el mantenimiento de las instalaciones educativas;
- elaborar y aplicar un código disciplinario para crear un entorno seguro y favorable para los alumnos y los profesores;
- organizar y aplicar métodos para la captación adicional de fondos conjuntamente con los padres y con los grupos de la comunidad y los patrocinadores;
- controlar la selección, formación y supervisión del personal.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Directores de centros de primaria
- Directores de centros de secundaria
- Directores de centros de formación profesional
- Decanos de facultades","Ocupaciones afines no incluidas en este grupo primario:

- Directores de centros de cuidados infantiles fuera del sistema educativo, 1322","","SI","","AYUDACOD_CNO11"
"1327","1A1327","Directores de sucursales de bancos, de servicios financieros y de seguros","",5,"132","Los directores de sucursales de bancos, de servicios financieros y de seguros planifican, dirigen y coordinan las sucursales de instituciones que prestan servicios financieros y de seguros, como bancos, cajas de ahorros, cooperativas de crédito y empresas de seguros. Prestan asistencia y asesoramiento a los clientes sobre temas financieros y de seguros.

Entre sus tareas se incluyen:

- planificar, dirigir y coordinar las actividades del personal de la sucursal;
- establecer y mantener relaciones con los clientes individuales o empresariales;
- prestar asesoramiento y asistenta a los clientes sobre sus necesidades financieras y de seguros y sobre temas como las modificaciones legales que puedan afectarles;
- examinar, evaluar y tramitar solicitudes de préstamos y de seguros;
- supervisar las decisiones de ampliación de crédito;
- realizar investigaciones financieras;
- controlar el flujo de caja y los instrumentos financieros y la preparación de informes financieros o de informes exigidos legalmente;
- aprobar o rechazar la concesión de líneas de crédito o de préstamos comerciales, hipotecarios o personales, o coordinar su aprobación o rechazo;
- coordinar la cooperación con las demás sucursales de la empresa;
- gestionar los presupuestos, controlar los gastos y asegurar la utilización racional de los recursos;
- controlar la selección, formación y rendimiento del personal.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Directores de sucursales de banco
- Directores de cajas de ahorro
- Directores de cooperativas de crédito
- Directores de agencias de seguros","Ocupaciones afines no incluidas en este grupo primario:

- Directores generales de bancos, 1120 
- Directores financieros, 1211
- Comerciantes de préstamos y créditos, 3402
- Mediadores y agentes de seguros, 3521","","SI","","AYUDACOD_CNO11"
"1329","1A1329","Directores de otras empresas de servicios profesionales no clasificados bajo otros epígrafes","",5,"132","Se incluyen en este grupo primario los directores que planifican, dirigen, coordinan y evalúan la prestación de servicios técnicos y profesionales especializados y que no están clasificados en el subgrupo 121, Directores de departamentos administrativos y de servicios, ni en el subgrupo principal 13, Directores de producción y operaciones. Por ejemplo, se incluyen aquí los directores responsables de la prestación de servicios de policía, penitenciarios, jurídicos y de lucha contra incendios.

Nota: Los directores y gerentes de empresas de servicios profesionales son responsables de la planificación, dirección y coordinación de la prestación de servicios profesionales y técnicos especializados. Normalmente se requieren cualificaciones especializadas y amplia experiencia en una o más de las ocupaciones clasificadas en el gran grupo 2, Técnicos y profesionales científicos e intelectuales, o en el gran grupo 3, Técnicos; profesionales de apoyo.

Entre sus tareas se incluyen:

- establecer la orientación general de un servicio, instalación, organización o centro y atender a su gestión;
- elaborar, aplicar y supervisar procedimientos, políticas y normas para el personal;
- dirigir, supervisar y evaluar la labor del personal profesional, técnico, administrativo, de servicios, de mantenimiento y de otra naturaleza;
- supervisar y evaluar los recursos destinados a la prestación de los servicios;
- controlar actividades administrativas tales como la planificación presupuestaria, la preparación de informes y la asunción de gastos por suministros, equipos y servicios;
- planificar, dirigir y coordinar la prestación de los servicios;
- coordinar la cooperación con otras entidades de prestación de servicios en el mismo campo o en campos afines;
- gestionar los presupuestos, controlar los gastos y asegurar la utilización racional de los recursos;
- controlar la selección, formación y rendimiento del personal.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Directores de archivos
- Directores de galerías de arte
- Directores de servicios jurídicos
- Directores de bibliotecas
- Directores de museos
- Directores de establecimientos penitenciarios
- Comisarios de policía","Ocupaciones afines no incluidas en este grupo primario:

- Inspectores de policía, 3631","","SI","","AYUDACOD_CNO11"
"14","1A14","Directores y gerentes de empresas de alojamiento, restauración y comercio","",3,"A","","","","","","AYUDACOD_CNO11"
"141","1A141","Directores y gerentes de empresas de alojamiento","",4,"14","","","","","","AYUDACOD_CNO11"
"1411","1A1411","Directores y gerentes de hoteles","",5,"141","Los directores y gerentes de hoteles planifican, organizan y dirigen las actividades de los hoteles para prestar a los huéspedes alojamiento y otros servicios.
Los gerentes generales y directores especializados de grandes empresas hoteleras o cadenas de hoteles se clasifican en el grupo primario correspondiente dentro de los subgrupos principales 11 y 12.

Entre sus tareas se incluyen:

- dirigir y controlar las actividades de reserva, recepción, servicio de habitaciones y servicio de limpieza;
- supervisar los sistemas de seguridad y el mantenimiento de los inmuebles y jardines;
- planificar y supervisar las actividades de cafetería, restaurante, salones para reuniones y conferencias;
- cumplir las leyes y reglamentos sobre bebidas, juegos de azar y otras cuestiones;
- evaluar y revisar la satisfacción de los clientes;
- controlar las actividades de contabilidad y de compras;
- ocuparse del presupuesto del establecimiento;
- controlar la selección, formación y supervisión del personal;
- velar por el cumplimiento de las leyes y reglamentos sobre salud y seguridad;
- facilitar a los huéspedes información turística local y organizar recorridos y transportes.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Gerentes de hoteles","Ocupaciones afines no incluidas en este grupo primario:

- Directores generales de empresas hoteleras, 1120
- Gerentes de albergues juveniles, 1419
- Trabajadores propietarios de pequeños alojamientos, 5840","","SI","","AYUDACOD_CNO11"
"1419","1A1419","Directores y gerentes de otras empresas de servicios de alojamiento","",5,"141","Los directores y gerentes de otras empresas de servicios de alojamiento planifican, organizan y dirigen las actividades para prestar a los huéspedes alojamiento y otros servicios en empresas de servicios de alojamiento no incluidas en los grupos primarios anteriores.

Nota: Los propietarios de pequeños establecimientos que ofrecen alojamiento, como por ejemplo pequeños hostales o pensiones, que además del alojamiento pueden ofrecer algunos servicios de comidas a sus clientes en calidad de hogares particulares y para los que la gestión y supervisión del personal no es una componente significativa de su trabajo, se clasifican en el grupo primario 5840, Trabajadores propietarios de pequeños alojamientos.

Entre sus tareas se incluyen:

- dirigir y controlar las actividades de reserva, recepción, servicio de habitaciones y servicio de limpieza;
- supervisar los sistemas de seguridad y el mantenimiento de los inmuebles y jardines;
- planificar y supervisar las actividades de cafetería, restaurante, salones para reuniones y conferencias;
- cumplir las leyes y reglamentos sobre bebidas, juegos de azar y otras cuestiones;
- evaluar y revisar la satisfacción de los clientes;
- controlar las actividades de contabilidad y de compras;
- ocuparse del presupuesto del establecimiento;
- controlar la selección, formación y supervisión del personal;
- velar por el cumplimiento de las leyes y reglamentos sobre salud y seguridad;
- facilitar a los huéspedes información turística local y organizar recorridos y transportes.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Gerentes de albergues juveniles
- Gerentes de moteles
- Gerentes de camping
- Gerentes de camping de autocaravanas","Ocupaciones afines no incluidas en este grupo primario:

- Gerentes de hoteles, 1411
- Trabajadores propietarios de pensiones, 5840
- Trabajadores propietarios de alojamientos de turismo rural, 5840","","SI","","AYUDACOD_CNO11"
"142","1A142","Directores y gerentes de empresas de restauración","",4,"14","","","","","","AYUDACOD_CNO11"
"1421","1A1421","Directores y gerentes de restaurantes","",5,"142","Los directores y gerentes de restaurantes planifican, organizan y dirigen las actividades de prestación de servicios de comedor y de comidas preparadas de restaurantes.

Nota: Los operadores-propietarios de pequeños cafés, restaurantes y bares que ejercen de cocineros o camareros y no dedican una parte significativa de su trabajo a la gestión del negocio o la supervisión de sus empleados se clasifican en el gran grupo 5.

Entre sus tareas se incluyen:

- planificar los menús en consulta con los chefs y cocineros;
- planificar y organizar reuniones especiales;
- organizar la compra y el precio de los productos de acuerdo con el presupuesto;
- mantener registros de los niveles de existencias y de las operaciones financieras;
- velar por que los comedores, cocinas e instalaciones de conservación de alimentos cumplan los reglamentos sanitarios y estén limpios, sean funcionales y presenten un aspecto adecuado;
- mantener contactos con los clientes para evaluar su satisfacción con las comidas y con el servicio;
- seleccionar a los camareros y al personal de cocina, fijar sus horarios de trabajo y ocuparse de su formación y supervisión;
- hacer las reservas, recibir a los clientes y ayudarles a hacer los pedidos;
- negociar acuerdos con los clientes y los proveedores;
- velar por el cumplimiento de los reglamentos sobre salud y seguridad en el trabajo.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Gerentes de restaurantes","Ocupaciones afines no incluidas en este grupo primario:

- Gerentes de bares y cafeterías, 1422
- Gerentes de catering, 1429
- Chefs, 3734
- Camareros y cocineros propietarios, 5000","","SI","","AYUDACOD_CNO11"
"1422","1A1422","Directores y gerentes de bares, cafeterías y similares","",5,"142","Los directores y gerentes de bares, cafeterías y similares planifican, organizan y dirigen las actividades de prestación de servicios de comedor y de comidas preparadas de bares, cafeterías y otros establecimientos similares.

Nota: Operadores-propietarios de pequeños cafés, restaurantes y bares que ejercen de cocineros o camareros y no dedican una parte significativa de su trabajo a la gestión del negocio o la supervisión de sus empleados se clasifican en el gran grupo 5.

Entre sus tareas se incluyen:

- planificar los menús en consulta con los chefs y cocineros;
- planificar y organizar reuniones especiales;
- organizar la compra y el precio de los productos de acuerdo con el presupuesto;
- mantener registros de los niveles de existencias y de las operaciones financieras;
- velar por que los comedores, cocinas e instalaciones de conservación de alimentos cumplan los reglamentos sanitarios y estén limpios, sean funcionales y presenten un aspecto adecuado;
- mantener contactos con los clientes para evaluar su satisfacción con las comidas y con el servicio;
- seleccionar a los camareros y al personal de cocina, fijar sus horarios de trabajo y ocuparse de su formación y supervisión;
- hacer las reservas, recibir a los clientes y ayudarles a hacer los pedidos;
- negociar acuerdos con los clientes y los proveedores;
- velar por el cumplimiento de los reglamentos sobre salud y seguridad en el trabajo.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Gerentes de bares y cafeterías","Ocupaciones afines no incluidas en este grupo primario:

- Gerentes de restaurantes, 1421
- Gerentes de catering, 1429
- Chefs, 3734
- Camareros y cocineros propietarios, 5000","","SI","","AYUDACOD_CNO11"
"1429","1A1429","Directores y gerentes de empresas de catering y otras empresas de restauración","",5,"142","Los directores y gerentes de empresas de catering y otras empresas de restauración planifican, organizan y dirigen las actividades de prestación de servicios de comedor y de comidas preparadas de empresas de catering y empresas de restauración afines.

Entre sus tareas se incluyen:

- planificar los menús en consulta con los chefs y cocineros;
- planificar y organizar reuniones especiales;
- organizar la compra y el precio de los productos de acuerdo con el presupuesto;
- mantener registros de los niveles de existencias y de las operaciones financieras;
- velar por que los comedores, cocinas e instalaciones de conservación de alimentos cumplan los reglamentos sanitarios y estén limpios, sean funcionales y presenten un aspecto adecuado;
- mantener contactos con los clientes para evaluar su satisfacción con las comidas y con el servicio;
- seleccionar a los camareros y al personal de cocina, fijar sus horarios de trabajo y ocuparse de su formación y supervisión;
- hacer las reservas, recibir a los clientes y ayudarles a hacer los pedidos;
- negociar acuerdos con los clientes y los proveedores;
- velar por el cumplimiento de los reglamentos sobre salud y seguridad en el trabajo.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Gerentes de catering","Ocupaciones afines no incluidas en este grupo primario:

- Gerentes de restaurantes, 1421
- Gerentes de bares y cafeterías, 1422
- Chefs, 3734 
- Camareros y cocineros propietarios, 5000","","SI","","AYUDACOD_CNO11"
"143","1A143","Directores y gerentes de empresas de comercio al por mayor y al por menor","",4,"14","","","","","","AYUDACOD_CNO11"
"1431","1A1431","Directores y gerentes de empresas de comercio al por mayor","",5,"143","Los directores y gerentes de empresas de comercio al por mayor planifican, organizan, coordinan y controlan las actividades de los establecimientos de venta de bienes al por mayor. Son responsables de los presupuestos, la dotación de personal y la orientación de la explotación de las tiendas o de las unidades organizativas existentes dentro de las tiendas que venden tipos concretos de productos.

Nota: Se clasifican en este grupo primario los directores y gerentes de empresas de comercio al por mayor empleados en establecimientos relativamente pequeños en los que no hay una estructura jerarquizada de directivos. También se clasifican en este grupo primario los gerentes de grandes establecimientos al por mayor, como grandes almacenes, aunque en esos establecimientos haya una estructura jerarquizada de directivos y supervisores. En cambio, los directores generales de grupos de establecimientos, como supermercados o cadenas de grandes almacenes, deben clasificarse en el grupo primario 1120, Directores generales y presidentes ejecutivos.
El personal que controla y dirige las actividades de los dependientes de tiendas y almacenes, operadores de caja y otros empleados, pero que no tiene la responsabilidad de definir la combinación de productos, fijar los precios, elaborar los presupuestos y los niveles de dotación de personal, y seleccionar y contratar a éste, se clasifica en el grupo primario 5210, Jefes de sección de tiendas y almacenes.

Entre sus tareas se incluyen:

- definir la combinación de productos, los niveles de existencias y las normas de servicio;
- elaborar y aplicar políticas de compras y de comercialización, y fijar los precios;
- promover y publicitar los bienes y servicios de los establecimientos;
- mantener registros de los niveles de existencias y de las operaciones financieras;
- ocuparse del presupuesto del establecimiento;
- controlar la selección, formación y supervisión del personal;
- velar por el cumplimiento de los reglamentos sobre salud y seguridad en el trabajo.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Gerentes de comercios al por mayor","Ocupaciones afines no incluidas en este grupo primario:

- Directores de cadenas de grandes almacenes, 1120
- Directores comerciales y de ventas, 1221
- Gerentes de supermercados, 1432
- Gerentes de establecimiento de alimentación, 1432
- Jefes de sección de tiendas y almacenes, 5210
- Dependientes en tiendas y almacenes, 5220","","SI","","AYUDACOD_CNO11"
