"COD","CODINTEGR","TITULO","NIVEL","TITABREV","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","FECHA_NOTA"
"661991","K661991","Financial consultancy services",6,"","66199","This subcategory includes:
- financial advisory services
- market analysis and intelligence","","This subcategory excludes:
- mergers and acquisitions services, see 66.19.21
- corporate finance and venture capital services, see 66.19.22
- trust and custody services, see 66.19.3
- insurance and pension consultancy services, see 66.29.19
- portfolio ma","","",
"661992","K661992","Financial transactions processing and clearinghouse services",6,"","66199","This subcategory includes:
- services of processing financial transactions such as verification of financial balances, authorisation of transactions, transfer of funds to and from transactors' accounts, notification of banks (or credit card issuers) of in","","This subcategory excludes:
- services of processing securities transactions, see 66.19.10","","",
"661999","K661999","Other services auxiliary to financial services n.e.c., except insurance and pension funding",6,"","66199","This subcategory includes:
- mortgage and loan brokerage services","","This subcategory excludes:
- insurance, reinsurance and pension funding services, see 65
- coin and currency packing services, see 82.92.10","","",
"662","K662","Services auxiliary to insurance and pension funding",3,"","66","","","","","",
"6621","K6621","Risk and damage evaluation services",4,"","662","","","","","",
"66211","K66211","Risk and damage evaluation services",5,"","6621","","","","","",
"662110","K662110","Risk and damage evaluation services",6,"","66211","This subcategory includes:
- services of investigating insurance claims, determining the amount of loss or damages covered by insurance policies and negotiating settlement
- services of examining claims which have been investigated and authorisation of pa","","","","",
"6622","K6622","Services of insurance agents and brokers",4,"","662","","","","","",
"66221","K66221","Services of insurance agents and brokers",5,"","6622","","","","","",
"662210","K662210","Services of insurance agents and brokers",6,"","66221","This subcategory includes:
- services of selling, negotiating or soliciting of annuities and reinsurance policies","","","","",
"6629","K6629","Other services auxiliary to insurance and pension funding",4,"","662","","","","","",
"66291","K66291","Other services auxiliary to insurance and pension funding",5,"","6629","","","","","",
"662911","K662911","Actuarial services",6,"","66291","This subcategory includes:
- services of calculating insurance risks and premiums","","","","",
"662919","K662919","Other services auxiliary to insurance and pension funding n.e.c.",6,"","66291","This subcategory includes:
- administration of insurance and pension funds
- salvage administration services
- insurance and pension consultancy services","","","","",
"663","K663","Fund management services",3,"","66","","","","","",
"6630","K6630","Fund management services",4,"","663","","","","","",
"66301","K66301","Fund management services",5,"","6630","","","","","",
"663011","K663011","Portfolio management services, except pension funds",6,"","66301","This subcategory includes:
- managing portfolio assets of individuals, businesses and others, on a fee or commission basis, except for pension funds

Managers make decisions on which investments to purchase or sell. Examples of the portfolios managed are","","This subcategory excludes:
- the buying and selling of securities on a transaction fee basis, see 66.12.11
- advisory services on personal financial planning not involving decision-making on behalf of clients, see 66.19.91
- pension fund management servic","","",
"663012","K663012","Pension fund management services",6,"","66301","","","","","",
"68","L68","Real estate services",2,"","L","","","","","",
"681","L681","Buying and selling services of own real estate",3,"","68","","","","","",
"6810","L6810","Buying and selling services of own real estate",4,"","681","","","","","",
"68101","L68101","Buying and selling services of own real estate",5,"","6810","","","","","",
"681011","L681011","Residential buildings and associated land sales or purchases services",6,"","68101","This subcategory includes:
- sales on own account of residential buildings and associated land in cases where the sales are treated as sales of trading stock by the seller, but not sales of property where the sales are disposals of the fixed assets of the","","This subcategory excludes:
- sales of residential property constructed by the selling unit, see 41.00.1
- sales of residential vacant land, see 68.10.13","","",
"681012","L681012","Time-share properties sales or purchases services",6,"","68101","This subcategory includes:
- sales on own account of time-share properties","","","","",
"681013","L681013","Residential vacant land sales or purchases services",6,"","68101","This subcategory includes:
- sales on own account of vacant residential land in cases where the sales are treated as sales of trading stock by the seller. Such vacant land can include subdivided vacant land.","This subcategory also includes:
- subdividing real estate into lots, without land improvement","This subcategory excludes:
- subdividing and improving of land, see 42.99.29","","",
"681014","L681014","Non-residential buildings and associated land sales or purchases services",6,"","68101","This subcategory includes:
- sales on own account of non-residential buildings and associated land in cases where the sales are treated as sales of trading stock by the seller, but not sales of property where the sales are disposals of the fixed assets of","","This subcategory excludes:
- sales of non-residential property constructed by the selling unit, see 41.00.2
- sales of non-residential vacant land, see 68.10.15","","",
"681015","L681015","Non-residential vacant land sales or purchases services",6,"","68101","This subcategory includes:
- sales on own account of vacant non-residential land in cases where the sales are treated as sales of trading stock by the seller. Such vacant land can include subdivided vacant land.","This subcategory also includes:
- subdividing real estate into lots, without land improvement","This subcategory excludes:
- subdividing and improving of land, see 42.99.29","","",
"682","L682","Rental and operating services of own or leased real estate",3,"","68","","","","","",
"6820","L6820","Rental and operating services of own or leased real estate",4,"","682","","","","","",
"68201","L68201","Rental and operating services of own or leased real estate",5,"","6820","","","","","",
"62031","J62031","Computer facilities management services",5,"","6203","This category includes the services of managing and monitoring client's IT infrastructure including hardware, software and networks.","","","","",
"620311","J620311","Network management services",6,"","62031","This subcategory includes:
- services of managing and monitoring communication networks and connected hardware to diagnose networking problems and gather capacity and usage statistics for the administration and fine-tuning of network traffic","These services also remotely manage security systems or provide security related services.","","","",
"620312","J620312","Computer systems management services",6,"","62031","This subcategory includes:
- provision of day-to-day management and operation of a client's computer system","","","","",
"6209","J6209","Other information technology and computer services",4,"","620","","","","","",
"62091","J62091","Installation services of computers and peripheral equipment",5,"","6209","","","","","",
"620910","J620910","Installation services of computers and peripheral equipment",6,"","62091","","","This subcategory excludes:
- installation services of mainframe computers, see 33.20.39","","",
"62092","J62092","Other information technology and computer services n.e.c.",5,"","6209","","","","","",
"620920","J620920","Other information technology and computer services n.e.c.",6,"","62092","This subcategory includes:
- data recovery services, i.e. retrieving a client's data from a damaged or unstable hard drive or other storage medium, or providing standby computer equipment and duplicate software in a separate location to enable a client to","","This subcategory excludes:
- computer programming services, see 62.01.1
- IT consultancy services, see 62.02
- data processing and hosting services, see 63.11.1","","",
"63","J63","Information services",2,"","J","","","","","",
"631","J631","Data processing, hosting and related services; web portals",3,"","63","","","","","",
"6311","J6311","Data processing, hosting and related services",4,"","631","","","","","",
"63111","J63111","Data processing, hosting, application services and other IT infrastructure provisioning services",5,"","6311","","","","","",
"631111","J631111","Data processing services",6,"","63111","This subcategory includes:
- complete processing services and specialised reports from data supplied by clients or providing automatised data processing and data entry services, including database running services","","","","",
"631112","J631112","Web hosting services",6,"","63111","This subcategory includes:
- provision of the infrastructure to host a customer's website and related files in a location that provides fast, reliable connection to the Internet, which may be:
  . limited to storage on a single server, in either shared or","","","","",
"631113","J631113","Application service provisioning",6,"","63111","This subcategory includes:
- provision of leased software applications from a centralised, hosted, and managed computing environment:
  . with integration to the systems and infrastructure of the client (Frequently, consulting, customisation and systems i","","","","",
"631119","J631119","Other hosting and IT infrastructure provisioning services",6,"","63111","This subcategory includes:
- collocation services, i.e. the provision of rack space within a secured facility for the placement of servers and enterprise platforms. The service includes the space for the client's hardware and software, connection to the I","","","","",
"63112","J63112","Advertising space or time in Internet",5,"","6311","","","","","",
"631120","J631120","Advertising space or time in Internet",6,"","63112","","","This subcategory excludes:
- advertising space in Internet books, newspapers, journals and periodicals, see 58.11.42, 58.13.32, 58.14.32
- Internet advertising space in web portals, see 63.12.20","","",
"6312","J6312","Web portal services",4,"","631","","","","","",
"63121","J63121","Web portal content",5,"","6312","","","","","",
"631210","J631210","Web portal content",6,"","63121","This subcategory includes:
- content provided on web search portals, i.e. extensive databases of Internet addresses and content in an easily searchable format","","This subcategory excludes:
- published on-line directories and mailing lists, see 58.12.20","","",
"63122","J63122","Internet advertising space in web portals",5,"","6312","","","","","",
"631220","J631220","Internet advertising space in web portals",6,"","63122","","","This subcategory excludes:
- advertising space or time in Internet, see 63.11.20","","",
"639","J639","Other information services",3,"","63","","","","","",
"6391","J6391","News agency services",4,"","639","","","","","",
"63911","J63911","News agency services",5,"","6391","","","This category excludes: 
- services of independent photojournalists, see 74.20.2
- services of independent journalists, see 90.03.11","","",
"639111","J639111","News agency services to newspapers and periodicals",6,"","63911","This subcategory includes:
- gathering, investigating and supply services of news in the form of manuscripts or of news pictures to printed media businesses such as newspapers, periodicals and books","","","","",
"639112","J639112","News agency services to audio-visual media",6,"","63911","This subcategory includes:
- gathering, investigating and supply services of news (manuscripts, photos, images) to radio or television stations and movie companies","","","","",
"6399","J6399","Other information services n.e.c.",4,"","639","","","","","",
"63991","J63991","Information services n.e.c.",5,"","6399","","","","","",
"639910","J639910","Information services n.e.c.",6,"","63991","This subcategory includes:
- information search services on a fee or contract basis
- news clipping services, press clipping services etc.
- compilation services of facts and information, other than mailing lists
- automatised computer-based information s","","This subcategory excludes:
- mailing list compilation as part of office support services, see 82.19.12
- call centre services, see 82.20.10","","",
"63992","J63992","Original compilations of facts/information",5,"","6399","","","","","",
"639920","J639920","Original compilations of facts/information",6,"","63992","This subcategory includes:
- original compilations of facts or information organised for retrieval and consultation, including mailing lists

These compilations are typically protected in their presentation, but not their content.","","This subcategory excludes:
- publishing of directories and mailing lists, see 58.12.10
- compilation services of facts and information, see 63.99.10
- mailing list compilation as part of office support services, see 82.19.12","","",
"64","K64","Financial services, except insurance and pension funding",2,"","K","","","This division excludes:
- insurance, reinsurance and pension funding services, see division 65","","",
"641","K641","Monetary intermediation services",3,"","64","","","","","",
"6411","K6411","Central banking services",4,"","641","","","","","",
"64111","K64111","Central banking services",5,"","6411","","","","","",
"641110","K641110","Central banking services",6,"","64111","This subcategory includes: 
- services which support the country's systems for clearing and settling payments and other financial transactions 
- services of maintaining deposit accounts for major financial institutions and for the central government 
- s","","","","",
"6419","K6419","Other monetary intermediation services",4,"","641","","","","","",
"64191","K64191","Deposit services",5,"","6419","","","","","",
"641911","K641911","Deposit services to corporate and institutional depositors",6,"","64191","This subcategory includes:
- deposit services, including demand, notice and term deposit services, to large business and institutional customers, including governments","","","","",
"641912","K641912","Deposit services to other depositors",6,"","64191","This subcategory includes:
- deposit services, including demand, notice and term deposit services to depositors, other than corporate and institutional 
- chequing services
- services of cheque certification
- stop payment services","","This subcategory excludes:
- collection services of drafts, cheques and other bills of exchange received on a collection basis cashed or taken on deposit, see 82.91.12
- collection services of accounts or monies receivable under assignment of accounts or","","",
"64192","K64192","Credit granting services by monetary institutions",5,"","6419","","","","","",
"641921","K641921","Inter-industry credit granting services by monetary institutions",6,"","64192","This subcategory includes: 
- loans granted to financial intermediaries by monetary institutions

It covers the issuing and management of loans and advances linked to the business carried out between financial intermediaries (as wholesale credit granting","","","","",
"641922","K641922","Consumer credit granting services by monetary institutions",6,"","64192","This subcategory includes: 
- personal non-mortgage instalment loan services by monetary institutions consisting of granting loans with scheduled repayment plans
- line-of-credit loan services, that is, loan services based on a commitment to lend funds to","","","","",
"641923","K641923","Residential mortgage credit granting services by monetary institutions",6,"","64192","This subcategory includes:
- services of granting loans by monetary institutions for the purpose of acquiring residential land or buildings and for which the land or buildings are used as security
- home equity loans","","This subcategory excludes:
- appraisal services, see 68.31.16","","",
"641924","K641924","Non-residential mortgage credit granting services by monetary institutions",6,"","64192","This subcategory includes:
- services of granting loans by monetary institutions for the purpose of acquiring non-residential land or buildings and for which the land or buildings are used as security","","This subcategory excludes: 
- appraisal services, see 68.31.16","","",
"641925","K641925","Commercial non-mortgage credit granting services by monetary institutions",6,"","64192","This subcategory includes: 
- loan services by monetary institutions to investment dealers and brokers, regulated financial institutions, federal, regional and local governments or school corporations, foreign governments, and other businesses 
- loan ser","","","","",
"641926","K641926","Credit card services by monetary institutions",6,"","64192","This subcategory includes:
- granting credit by monetary institutions when the holder of a credit card uses it to buy a good or a service, regardless of whether the balance is paid in full at the end of the grace period","","","","",
"641929","K641929","Other credit granting services by monetary institutions",6,"","64192","This subcategory includes: 
- other credit-granting services by monetary institutions n.e.c.
- sales financing services","","","","",
"64193","K64193","Other monetary intermediation services n.e.c.",5,"","6419","","","","","",
"641930","K641930","Other monetary intermediation services n.e.c.",6,"","64193","This subcategory includes: 
- all other monetary intermediation services (except credit granting and deposit taking services) provided by credit granting and deposit taking institutions other than central banks 

These services are mainly linked to invest","","","","",
"642","K642","Services of holding companies",3,"","64","","","","","",
"6420","K6420","Services of holding companies",4,"","642","","","","","",
"64201","K64201","Services of holding companies",5,"","6420","","","","","",
"642010","K642010","Services of holding companies",6,"","64201","This subcategory includes:
- services of holding companies primarily engaged in holding the securities of (or other equity interests in) companies and enterprises for the purpose of owning a controlling interest","","","","",
"643","K643","Services of trusts, funds and similar financial entities",3,"","64","","","","","",
"6430","K6430","Services of trusts, funds and similar financial entities",4,"","643","","","","","",
"64301","K64301","Services of trusts, funds and similar financial entities",5,"","6430","","","","","",
"643010","K643010","Services of trusts, funds and similar financial entities",6,"","64301","This subcategory includes:
- services provided by legal entities that are organised to pool securities or other financial assets, without managing, on behalf of shareholders or beneficiaries 

The portfolios are customised to achieve specific investment c","","","","",
"649","K649","Other financial services, except insurance and pension funding",3,"","64","","","This group excludes:
- insurance, reinsurance and pension funding services, see 65","","",
"6491","K6491","Financial leasing services",4,"","649","","","","","",
"64911","K64911","Financial leasing services",5,"","6491","","","","","",
"649110","K649110","Financial leasing services",6,"","64911","This subcategory includes:
- services of making equipment and other assets available to a customer without capital investment on the customer's part, whereby the lessor pays for and takes title to the equipment or facilities and leases it to the lessee wh","","This subcategory excludes:
- operating leasing services, see division 77","","",
"6492","K6492","Other credit granting services",4,"","649","","","","","",
"64921","K64921","Other credit granting services, other than by monetary institutions",5,"","6492","","","","","",
"649211","K649211","Inter-industry credit granting services, other than by monetary institutions",6,"","64921","This subcategory includes:
- loans granted to financial intermediaries other than by monetary institutions 

It covers the issuing and management of loans and advances linked to the business carried out between financial intermediaries (as wholesale credi","","","","",
"611043","J611043","Broad-band Internet access services over wired networks",6,"","61104","This subcategory includes:
- provision of a direct wired connection to the Internet at speeds 256 Kbps and higher. The Internet Service Provider (ISP) may also provide free services along with Internet access such as E-mail, space for the customers web","This service may also include remote access or other types of Internet access and package upgrades such as international roaming and extra E-mail boxes, usually for additional costs to customers.","","","",
"611049","J611049","Other wired Internet telecommunications services",6,"","61104","This subcategory includes:
- provision of wired telecommunications services over the Internet other than Internet access
 
This includes services such as fax, telephony, audio conferencing and video conferencing over the Internet.","","","","",
"61105","J61105","Home programme distribution services over wired infrastructure",5,"","6110","","","","","",
"611051","J611051","Home programme distribution services over wired infrastructure, basic programming package",6,"","61105","This subcategory includes:
- providing subscriber access to a basic range of programming services via wired infrastructure generally for a monthly fee
 
This package contains the minimum number of channels available to subscribers, as defined by each cabl","","","","",
"611052","J611052","Home programme distribution services over wired infrastructure, discretionary programming package",6,"","61105","This subcategory includes:
- providing subscriber programming services via wired infrastructure in addition to those included in the basic package for a fee separate from, and in addition to, the basic monthly fee
 
This programming service can be provide","","","","",
"611053","J611053","Home programme distribution services over wired infrastructure, pay-per-view",6,"","61105","This subcategory includes:
- providing subscribers the ability to view a specific program (movie or event) via wired infrastructure from his home for a fee separate from, and in addition to, the monthly fee for basic or discretionary programming packages","","","","",
"612","J612","Wireless telecommunications services",3,"","61","","","","","",
"6120","J6120","Wireless telecommunications services",4,"","612","","","","","",
"61201","J61201","Mobile telecommunications services and private network services for wireless telecommunications systems",5,"","6120","","","","","",
"612011","J612011","Private network services for wireless telecommunications systems",6,"","61201","This subcategory includes:
- provision of wireless telecommunication link(s) between specified points for the exclusive use of the client","","This subcategory excludes:
- provision of private links by a wireless telecommunication carrier to a telecommunication service provider, see 61.20.20","","",
"612012","J612012","Mobile voice services",6,"","61201","This subcategory includes:
- provision of access to, and use of, switched or non-switched networks for the transmission of voice telephony using portable handsets or devices such as cellular phones, mobile phones, satellite phones, smart phones, and simil","","This subcategory excludes:
- provision of wireless telecommunication link(s) between specified points for the exclusive use of the client, see 61.20.11
- provision by a telecommunication carrier of wireless facilities to originate, terminate, or transit c","","",
"612013","J612013","Mobile text services",6,"","61201","This subcategory includes:
- provision of access to SMS (short message service) to send and receive text messages on cellular phones, mobile phones, smart phones and similar devices","","This subcategory excludes:
- provision of MMS (multimedia message service) services, see 61.20.14","","",
"612014","J612014","Mobile data services, except text services",6,"","61201","This subcategory includes:
- provision of access to mobile data networks for mobile phones, smart phones, tablets, and similar devices to send and receive data (other than voice or text)","This subcategory also includes:
- provision of MMS (multimedia message service) services","This subcategory excludes:
- provision of mobile voice communications services, see 61.20.12
- provision of SMS (short message service) services, see 61.20.13","","",
