"COD","CODINTEGR","TITULO","TITABREV","NIVEL","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","NOMBRE","FECHA_NOTA"
"72","C7CK72","Licenciados y equivalentes","",4,"CK","En este grupo se clasifican los siguientes títulos o certificaciones y formación equivalente:

-	Título de Licenciado.
-	Título de Ingeniero.
-	Título de Arquitecto.
-	Título Superior de Música, equivalente a licenciado (LOGSE) / Enseñanzas de Grado Superior de Música (LOGSE).
-	Título Superior de Danza, equivalente a licenciado (LOGSE) / Enseñanzas de Grado Superior de Danza.
-	Título Superior de Arte Dramático, equivalente a licenciado (LOGSE)/ Enseñanzas de Arte Dramático, Grado Superior (LOGSE).
-	Título de Profesor Superior de Música (Decreto 2618/1966).
-	Título de Profesor de Música y Título Profesional de Música (Decreto 15 de junio de 1942).
-	Diploma Superior de Especialización para Solistas (Decreto 313/1970).
-	Título de Profesor y Título Profesional de Actor Teatral (Decreto 15 de junio de 1942).
-	Diplomas Expedidos al amparo de los dispuesto en el Decreto 2607/1974).
-	Antigua Escala Superior de Oficiales de las Fuerzas Armadas (acceso a la escala anterior a 2015).
-	Escala Superior de Oficiales de la Guardia Civil.
-	Escala de Oficiales de la Guardia Civil.
-	Título Profesional de Piloto de Segunda de la Marina Mercante.
-	Título Profesional de Piloto de primera de la Marina Mercante.
-	Título Profesional de Capitán de la Marina Mercante.
-	Título Profesional de Oficial de Máquinas de Segunda de la Marina Mercante.
-	Título Profesional de Oficial de Máquinas de Primera de la Marina Mercante.
-	Título Profesional de Jefe de Máquinas de la Marina Mercante.
-	Título Profesional de Oficial Radioelectrónico de Segunda de la Marina Mercante.
-	Título profesional de Oficial Radioelectrónico de Primera de la Marina Mercante.
-	Otras titulaciones equivalentes a una licenciatura.","En este grupo no se clasifican:

- 	Títulos propios universitarios (ver 41, 52, 63, 75 y 92).
- 	Grados oficiales universitarios (ver 61 y 71).","","SI","","AYUDACOD_CNEDA14",""
"CK","C7CL","Másteres, especialidades en Ciencias de la Salud por el sistema de residencia y similares","",3,"7","","","","","","AYUDACOD_CNEDA14",""
"73","C7CL73","Másteres oficiales universitarios y equivalentes","",4,"CL","En este grupo se clasifican los siguientes títulos o certificaciones y formación equivalente:

-	Máster oficial universitario (especialización profesional o académica).
-	Máster oficial universitario (especialidad investigación o asociado a un doctorado).
-	Doctorado, periodo de formación completo.
-	Diploma de Estudios Avanzados.
-	Suficiencia Investigadora (reconocida).
-	Formación oficial de postgrado con acceso al doctorado distinta del máster (RD 99/2011, art. 6.2 a, b y c).
-	Máster en Enseñanzas Artísticas.
-	Inspector de Policía Nacional.
-	Enseñanza de Altos Estudios de la Defensa Nacional, con título.
-	Título de Licenciatus (enseñanzas eclesiásticas) / Enseñanzas eclesiásticas equivalentes a máster.
.","En este grupo no se clasifican:

- 	Postgrados universitarios no oficiales (ver 63, 75 y 92)","","SI","","AYUDACOD_CNEDA14",""
"Z","Z","No clasificable (no otorga nivel de formación)","",1,"","","","","","","",""
"_","Z_","No clasificable (no otorga nivel de formación)","",2,"Z","","","","","","",""
"nc","Z_ZZnc","No clasificable (no otorga nivel de formación)","",4,"ZZ","","","","","","",""
"ZZ","Z_ZZ","No clasificable (no otorga nivel de formación)","",3,"_","","","","","","",""
"74","C7CL74","Especialidades en Ciencias de la Salud por el sistema de residencia y similares","",4,"CL","En este grupo se clasifican los siguientes títulos o certificaciones y formación equivalente, de especialización en el ámbito de la salud:

-	Título de Médico especialista (diversas especialidades) / Especialidades de Medicina (Ciencias de la Salud) por el sistema de residencia.
-	Título de Especialista en Farmacia Hospitalaria / Especialidad de Farmacia Hospitalaria (Ciencias de la Salud) por el sistema de residencia.
-	Título de Psicólogo Clínico / Especialidad de Psicología Clínica (Ciencias de la Salud) por el sistema de residencia.
-	Título de Especialista Sanitario (diversas especialidades) / Especialidades multidisciplinares en Ciencias de la Salud por el sistema de residencia.
-	Título de Enfermero especialista (diversas especialidades) / Especialidades de Enfermería (Ciencias de la Salud por el sistema de residencia.
-	BIR, Programas de especialización para biólogos, con título.
-	FIR, Programas de especialización para farmacéuticos, con título.
-	MIR, Programas de especialización para médicos, con título.
-	PIR, Programas de especialización para psicólogos, con título.
-	QIR, Programas de especialización para químicos, con título.
-	Otras titulaciones equivalentes.","En este grupo no se clasifican:
- 	Másteres y otros programas de postgrado del ámbito de la salud o distintos, no realizados en régimen de residencia o similar (ver 63, 73,75 y 92).","","SI","","AYUDACOD_CNEDA14",""
"75","C7CL75","Títulos propios universitarios de máster (maestrías), de 60 o más crédito ECTS cuyo acceso requiera ser titulado universitario","",4,"CL","En este grupo se clasifican los siguientes títulos propios universitarios de postgrado :
-	Título propio universitario de máster no oficial.
-	Títulos propios universitarios de 60 o más créditos ECTS para los que se precisa una titulación universitaria.
-	Postgrados universitarios no oficiales, de 1 año o más, para los que se precisa una titulación universitaria.
-	Título Profesional de Especialización Didáctica (CAP).","En este grupo no se clasifican:

- 	Másteres oficiales universitarios (ver 73).","","SI","","AYUDACOD_CNEDA14",""
"8","C8","Enseñanzas de doctorado","",2,"C","","","","","","AYUDACOD_CNEDA14",""
"CL","C8CM","Doctorado universitario","",3,"8","","","","","","AYUDACOD_CNEDA14",""
"81","C8CM81","Doctorado universitario","",4,"CM","En este grupo se clasifican los siguientes títulos o certificaciones y formación equivalente:

-	Título de Doctor (cualquier plan de estudios).
-	Enseñanzas eclesiásticas equivalentes a Doctorado.","En este grupo no se clasifican:

- 	Másteres oficiales universitarios, asociado o no a un Doctorado (ver 73).
- 	Doctorado, completado el periodo de formación exclusivamente (ver 73).","","SI","","AYUDACOD_CNEDA14",""
"35","B3BG35","Certificados de las escuelas oficiales de idiomas de niveles B2, C1 y C2, y similares","",4,"BG","35	 Certificado de las escuelas oficiales de idiomas de niveles B2, C1 Y C2,
y similares.

En este grupo se clasifican los siguientes títulos o certificaciones:

-	Certificado de Aptitud de la EOI / Escuela Oficial de Idiomas, ciclo superior (LOGSE).
-	Certificado de Nivel Avanzado de la EOI / Escuela Oficial de Idiomas, nivel avanzado (LOE hasta curso 2017-2018).
-       Certificado de Nivel Intermedio B2 / Escuela Oficial de Idiomas, nivel intermedio B2 (R.D. 1041/2017, a partir del curso 2018-2019).
-       Certificado de Nivel Avanzado C1 / Escuela Oficial de Idiomas, nivel avanzado C1 (R.D. 1041/2017, a partir del curso 2018-2019).
-       Certificado de Nivel Avanzado C2 / Escuela Oficial de Idiomas, nivel avanzado C2 (R.D. 1041/2017, a partir del curso 2018-2019).","En este grupo no se clasifican:

- 	Títulos de los niveles básico A1 y A2 e intermedio B1 de las Escuelas Oficiales de Idiomas (no consolidan el nivel de formación).
- 	Cursos de actualización y perfeccionamiento profesional y otros cursos de la Escuela oficial de idiomas no conducentes a las certificaciones de los niveles oficiales de estas enseñanzas (es educación no formal).","","SI","","AYUDACOD_CNEDA14",""
"4","B4","Educación postsecundaria no superior","",2,"B","","","","","","AYUDACOD_CNEDA14",""
"BG","B4BH","Educación postsecundaria no superior","",3,"4","","","","","","AYUDACOD_CNEDA14",""
"41","B4BH41","Certificados de profesionalidad de nivel 3; programas de corta duración que requieren segunda etapa de secundaria y similares","",4,"BH","En este grupo se clasifican las siguientes certificaciones y formación similar:

-	Certificado de Profesionalidad de nivel 3 (CdPN3).
-	Títulos propios universitarios que precisan del titulo de Bachiller, de duración igual o superior a 1 semestre e inferior a 2 años.","","","SI","","AYUDACOD_CNEDA14",""
"C","C","Educación superior","",1,"","","","","","","AYUDACOD_CNEDA14",""
"5","C5","Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes; títulos propios universitarios que precisan del título de bachiller, de duración igual o superior a 2 años","",2,"C","","","","","","AYUDACOD_CNEDA14",""
"CG","C5CI","Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes; títulos propios universitarios que precisan del título de bachiller, de duración igual o superior a 2 años","",3,"5","","","","","","AYUDACOD_CNEDA14",""
"51","C5CI51","Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes","",4,"CI","En este grupo se clasifican los siguientes títulos o certificaciones y formación equivalente:

-	Título de Técnico Superior / Ciclos Formativos de Grado Superior (CFGS) de FP
-	Título de Técnico Superior / Ciclos Formativos de Grado Superior (CFGS) de FP (distancia)
-	Título de Técnico Superior de artes plásticas y diseño / Ciclos Formativos de Grado Superior (CFGS) de Enseñanzas de Artes plásticas y Diseño (ApyD)
-	Título de Técnico Deportivo Superior / Enseñanzas Deportivas de Grado Superior
-	Título de Técnico Especialista / Formación Profesional de Segundo Grado. FP2
-	Título de Técnico Especialista / Módulos Experimentales de nivel III de FP
-	Maestría Industrial, con título
-	Perito Mercantil, título
-	Título de Graduado en Artes Aplicadas y Oficios Artísticos / Artes Aplicadas y Oficios Artísticos
-	Enseñanza militar, antigua Escala de Suboficiales de las Fuerzas Armadas (acceso a la escala anterior a 2015)
-	Título de Técnico Superior / Ciclos Formativos de Grado Superior (CFGS) de FP a través de Enseñanza Militar (acceso a la escala a partir de 2015)
-	Guardia Civil, Escala de Suboficiales
-	Otras titulaciones que sean equivalentes a enseñanzas de grado superior de formación profesional del sistema educativo.","","","SI","","AYUDACOD_CNEDA14",""
"52","C5CI52","Títulos propios universitarios que precisan del título de bachiller, de duración igual o superior a 2 años","",4,"CI","En este grupo se clasifican los siguientes primeros títulos propios universitarios :

-	Títulos propios universitarios que precisan del título de Bachiller o similar, de duración igual o superior a 2 años."," En este grupo no se clasifican:

- 	Títulos propios universitarios de duración inferior a 2 años o que no precisan el Bachillerato (ver 41 y 92).
- 	Títulos propios universitarios de postgrado (ver 63, 75 y 92).","","SI","","AYUDACOD_CNEDA14",""
"6","C6","Grados universitarios de hasta 240 créditos ECTS, diplomados universitarios, títulos propios universitarios de experto o especialista, y similares","",2,"C","","","","","","AYUDACOD_CNEDA14",""
"CI","C6CJ","Grados universitarios de hasta 240 créditos ECTS, diplomados universitarios, títulos propios universitarios de experto o especialista, y similares","",3,"6","","","","","","AYUDACOD_CNEDA14",""
"61","C6CJ61","Grados universitarios de hasta 240 créditos ECTS y equivalentes","",4,"CJ","En este grupo se clasifican los siguientes títulos o certificaciones y formación equivalente:
- 	Título de Graduado (hast 240 créditos ECTS) / Grados universitarios de hasta 240 créditos ECTS y equivalentes.
- 	Doble grado universitario (combinación de dos grados de hasta 240 créditos ECTS).
- 	Graduado en Ingeniería, cualquier especialidad.
- 	Título Superior de Conservación y Restauración de Bienes Culturales, equivalente a graduado (LOE) / Enseñanzas de Conservación y Restauración de Bienes Culturales (LOE).
- 	Título Superior de Artes Plásticas, Cerámica (LOE), equivalente a graduado / Estudios Superiores, Artes Plásticas, Cerámica (LOE).
- 	Título Superior de Artes Plásticas, Vidrio, equivalente a Graduado (LOE) / Estudios Superiores, Artes Plásticas, Vidrio (LOE).
- 	Título Superior de Diseño, equivalente a Graduado (LOE) / Estudios Superiores, Diseño (LOE).
- 	Título Superior de Música, equivalente a Graduado (LOE) / Estudios Superiores, Música (LOE).
- 	Título Superior de Danza, equivalente a Graduado a (LOE) / Estudios Superiores, Danza (LOE).
- 	Título Superior de Arte Dramático, equivalente a Graduado (LOE) / Enseñanzas de Arte Dramático (LOE).
- 	Título de Baccalaureatus (enseñanzas eclesiásticas) / Enseñanzas eclesiásticas equivalentes a Grado.
- 	Título de Graduado en Teología / Grado en Teología.
- 	Título de Oficial de las Fuerzas Armadas (acceso a la escala a partir de 2015).
- 	Título de Oficial de las Fuerzas Armadas (acceso desde antigua Escala de Oficiales).
- 	Otras titulaciones equivalentes a un Grado universitario.","En este grupo no se clasifican:

- 	Título de Graduado universitario de más de 240 créditos ECTS (ver 71).","","SI","","AYUDACOD_CNEDA14",""
"62","C6CJ62","Diplomados universitarios y equivalentes","",4,"CJ","En este grupo se clasifican los siguientes títulos o certificaciones y formación equivalente:

-	Título de Diplomado Universitario.
-	Título de Ingeniero Técnico.
-	Título de Arquitecto Técnico.
-	3 primeros años completos de Licenciatura, cualquier especialidad.
-	3 primeros años completos de Ingeniería, cualquier especialidad.
-	3 primeros años completos de Arquitectura.
-	Aparejador.
-	Facultativo de Minas.
-	Profesor Mercantil, título.
-	Título Superior de Conservación y Restauración de Bienes Culturales, equivalente a Diplomado (LOGSE) / Enseñanzas de Conservación y Restauración de Bienes Culturales (LOGSE).
-	Título Superior de Diseño, equivalente a Diplomado (LOGSE) / Estudios Superiores de Diseño (LOGSE).
-	Título Superior de Cerámica, equivalente a Diplomado (LOGSE) / Estudios Superiores de Cerámica (LOGSE).
-	Título Superior del Vidrio, equivalente a Diplomado (LOGSE) / Estudios Superiores del Vidrio (LOGSE).
-	Título de Piloto de Transporte de Línea Aérea (Avión).
-	Título de Piloto de Transporte de Línea Aérea (Helicóptero).
-	Enseñanza militar, antigua Escala de Oficiales de las Fuerzas Armadas (acceso a la escala anterior a 2015).
-	Enseñanzas eclesiásticas equivalentes a Diplomado.
-	Otras titulaciones equivalentes a una diplomatura universitaria.","En este grupo no se clasifican:
- 	3 primeros años completos de un grado universitario, que no se correspondan con una certificación.","","SI","","AYUDACOD_CNEDA14",""
"63","C6CJ63","Títulos propios universitarios de experto o especialista, de menos de 60 créditos ECTS, cuyo acceso requiera ser titulado universitario","",4,"CJ","En este grupo se clasifican los siguientes títulos propios universitarios de postgrado :

-	Título propio universitario de Experto.
-	Título propio universitario de Especialista.
-	Títulos propios universitarios de más de 30 créditos ECTS y menos de 60 para los que se precisa una titulación universitaria.
-	Postgrados universitarios no oficiales, de 6 meses o más y menos de 1 año, para los que se precisa una titulación universitaria.","","","SI","","AYUDACOD_CNEDA14",""
"7","C7","Grados universitarios de más de 240 créditos ECTS, licenciados, másteres y especialidades en Ciencias de la Salud por el sistema de residencia, y similares","",2,"C","","","","","","AYUDACOD_CNEDA14",""
"CJ","C7CK","Grados universitarios de más de 240 créditos ECTS, licenciados y equivalentes","",3,"7","","","","","","AYUDACOD_CNEDA14",""
"71","C7CK71","Grados universitarios de más de 240 créditos ECTS y equivalentes","",4,"CK","En este grupo se clasifican los siguientes títulos o certificaciones y formación equivalente:
-	Título de Graduado de más de 240 créditos ECTS.
-	Doble grado universitario (combinación de uno de más de 240 créditos ECTS y otro grado.
-	Título de Graduado en Medicina.
-	Título de Graduado en Farmacia.
-	Título de Graduado en Veterinaria.
-	Título de Graduado en Odontología.
-	Título de Graduado en Arquitectura.
-	Otras titulaciones equivalentes a grados de más de 240 créditos ETCS.","En este grupo no se clasifican:

- 	Título de Graduado de 240 créditos ECTS) (ver 61)
- 	Doble grado universitario, combinación de dos grados de 240 créditos ECTS (ver 61)","","SI","","AYUDACOD_CNEDA14",""
"BG","B3BG","Segunda etapa de educación secundaria, con orientación profesional (sin continuidad en la educación superior)","",3,"3","","","","","","AYUDACOD_CNEDA14",""
"38","B3BG38","Formación profesional básica","",4,"BG","En este grupo se clasifican los siguientes títulos o certificaciones:

-	Título Profesional Básico / Formación Profesional Básica.","","","SI","","AYUDACOD_CNEDA14",""
